altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A
2913	12	240	-24	5468	211	215	139	3846	1
2543	4	242	30	642	224	231	142	5415	1
2831	22	135	41	4484	249	222	89	4943	1
2627	10	300	18	973	231	221	123	5562	1
2706	5	339	21	1827	228	233	140	6108	1
2617	10	201	27	1060	224	219	129	5387	1
2772	10	30	0	4140	209	219	148	5356	1
2737	4	150	30	2187	216	231	153	6281	1
2871	22	162	70	4563	162	211	187	5008	1
2583	11	108	25	1233	205	219	150	4971	1
3080	10	60	7	6926	218	218	134	2751	1
3129	12	124	16	6935	232	243	140	2367	1
2559	9	120	29	1430	235	234	130	4656	1
2731	6	351	42	2190	231	235	139	5749	1
2913	17	503	121	4488	197	204	141	5262	1
2936	11	404	135	4668	213	217	140	5098	1
2818	3	175	30	3208	219	241	159	6565	1
2724	7	319	35	2185	221	224	139	5622	1
3109	7	210	0	6633	234	233	133	2664	1
2959	18	350	119	5778	240	205	90	4241	1
2840	11	67	9	3654	204	220	153	6483	1
2725	21	30	9	2554	246	228	100	5396	1
2713	10	256	28	2255	196	228	171	4965	1
3080	13	297	46	5961	203	252	184	2174	1
3073	6	666	39	6263	203	239	175	3127	1
2791	6	30	0	3369	218	245	163	6041	1
3162	18	361	98	4803	248	221	95	1710	1
2678	22	402	-48	1376	220	188	95	4028	1
3129	14	361	85	4768	221	212	124	1867	1
3057	9	633	-60	6012	231	223	124	3013	1
3074	9	690	39	6292	199	227	167	3523	1
2764	6	241	31	2850	228	229	136	5229	1
3034	20	488	167	6452	249	216	86	3854	1
2988	15	234	39	5626	198	253	189	2423	1
2730	11	90	3	2725	238	234	124	4894	1
2526	9	360	0	576	235	231	129	3503	1
3231	2	577	63	4187	214	237	161	1866	1
2721	4	212	24	2320	223	231	144	4502	1
2568	13	175	42	742	234	214	110	3468	1
3092	24	379	128	4946	216	180	87	2455	1
2742	12	30	6	2884	240	224	111	4902	1
2525	11	150	4	474	233	219	117	3314	1
2955	15	85	10	5286	239	210	99	2605	1
2711	6	182	19	1832	209	245	173	4073	1
2942	4	0	0	5249	222	230	144	2724	1
2972	10	247	50	5411	229	244	145	2981	1
2744	8	108	21	2640	229	225	129	4620	1
2880	13	67	3	4208	242	221	108	6172	1
3208	11	990	190	4129	210	217	143	2324	1
3104	19	170	21	4882	230	197	94	2813	1
2733	10	67	6	2495	216	217	136	4410	1
3224	8	949	49	4152	197	237	180	2408	1
2899	21	256	71	3486	221	193	100	5202	1
2649	27	68	24	1113	245	181	47	3303	1
2991	11	470	65	4887	237	237	129	6242	1
